S&P 500,Dow Jones Industrial Average,NASDAQ Composite,Nikkei 225,FTSE 100,KOSPI Composite Index,TSEC weighted index,TWD_R,pmi_R,tw_business_indicators_R,unemployment_R,bond_R,ppi_R,cpi,Hist,RSI
0.007258178414493166,0.011837310229867448,0.20143312030556082,-0.29450820731056204,1.0985069408640857,-0.09676754550167477,0.0,-0.52,3.26,0.05,0.0,-3.01,0.0,2.746361,20.377618842846076,73.38568800498739
0.23238554256483912,0.2502397546157997,0.30219857050348686,0.39555965523743186,0.2798436284008332,0.0,0.0,0.14,-16.21,0.85,-2.6,0.0,-0.15,2.0999025,1.409974824499983,58.88135539637093
0.0,0.0,0.0,0.2674165863151501,0.0,0.1718680125941896,0.22173898913020462,-0.1,-16.21,0.85,-2.6,-4.0,-0.15,2.0999025,-4.456685764063764,49.57936875052379
0.956601649469957,0.891497881230574,1.3230501638266334,2.1296734421594854,1.3615718137621302,0.2047993867337894,0.12842282764586876,0.24,-16.21,0.85,-2.6,4.17,-0.15,2.0999025,-4.144181516842124,54.751789296043775
0.1084512714484509,0.2979612026972056,-0.05458110215661449,0.30011513552568037,-0.06840644191153933,-0.8086129783781537,0.6862637215021339,-0.13,-16.21,0.85,-2.6,0.0,-0.15,2.0999025,-3.0148272883171003,56.05806652781269
0.18164914425815581,0.232578632248015,0.30164041837654754,2.6365134340907037,0.18047323231076273,0.08032255697227875,0.294195338101666,-0.1,-16.21,0.85,-2.6,0.0,-0.15,2.0999025,-1.896785410468901,56.83698587940801
0.4481139122655131,0.47161536816489047,0.3799408111451852,0.5326580183674823,0.6895251117688739,-0.13260323561388176,0.0,0.1,-16.21,0.85,-2.6,8.0,-0.15,2.0999025,1.994655301074502,60.83715570180891
0.0,0.0,0.0,-0.27727019419747645,0.0,-0.49966355792113726,0.010004212396386158,0.07,-16.21,0.85,-2.6,0.0,-0.15,2.0999025,5.4343406994546655,62.45457758188402
-0.24032529493148713,0.01916990136221486,-0.3243304665741409,-0.6102361033959003,0.10763269412157328,0.3205682301065993,-0.5471781202524006,0.07,-16.21,0.85,-2.6,0.0,-0.15,2.0999025,4.084717578502577,57.6674688147024
0.131405176760091,0.03612928444756136,0.08635942069536995,1.1563251890227555,-0.4469649067637471,0.12001742422744766,-0.30521072521197956,-0.03,-16.21,0.85,-2.6,0.0,-0.15,2.0999025,2.654361493475598,57.730877245973524
0.5602990523162488,0.5801297063336541,0.4255563416584396,1.4518778840035829,0.7390249532322812,-0.7806688299308195,-1.4651467980106192,0.03,-16.21,0.85,-2.6,0.0,-0.15,2.0999025,-1.6006979443349039,53.04995189936578
-0.16184626244926115,-0.1721511552967958,-0.3025491031740657,-2.7093516589772104,-0.6080146357247851,-0.9222223150799125,0.0,0.1,-16.21,0.85,-2.6,-7.41,-0.15,2.0999025,-6.156354314057076,50.598980809843354
0.0,0.0,0.0,2.026086939149785,0.0,0.5273910211233579,-0.5159181759416764,-0.03,-16.21,0.85,-2.6,4.0,-0.15,2.0999025,-16.5111007175879,40.867666004483894
-0.24225306518709244,0.026022188527541346,-0.26223178363837807,1.3430932429202125,-0.25705102134248037,-0.9678768319862474,0.1770974206755982,-2.49,-16.21,0.85,-2.6,-7.69,-0.15,2.0999025,-20.776440512965607,43.59635672420308
0.6697492376419811,0.3867657112592626,0.7769918240754015,0.0,-0.13350736087057724,-0.4384017505667859,-0.1999488829921181,0.65,-16.21,0.85,-2.6,8.33,-0.15,2.0999025,-25.266256673190252,40.589644756886706
-0.8282433828555424,-0.6218433740161178,-0.9707436971656547,-2.3517524262213874,-0.6855612156211777,-0.10815889777917587,0.768310097328162,-0.71,-16.21,0.85,-2.6,3.85,-0.15,2.0999025,-26.141711515978848,42.059232625873406
0.7174256352702191,0.6278133368400995,0.6950878689552908,1.685206283828089,0.06573751631113733,1.4861156143462395,0.0,0.48,-16.21,0.85,-2.6,-3.7,-0.15,2.0999025,-26.52441357199678,40.82906933400265
0.0,0.0,0.0,-0.5965016744405083,0.0,0.30489955819592574,0.48062855365684776,-0.28,-16.21,0.85,-2.6,-7.69,-0.15,2.0999025,-21.698333614402515,47.20609560439979
0.7785110802517758,0.7745177666072633,0.5310150953957926,0.17776296637233013,0.329236177121528,0.49100118335039244,-0.34506506301440476,1.24,-16.21,0.85,-2.6,4.17,-0.15,2.0999025,-17.6183356691555,47.23060931613578
-0.05883499068413123,-0.23002086915880904,0.12421411005634209,-1.2632682127003525,-0.18438923754676706,0.004017082397944627,0.6575629577956654,-1.06,-16.21,0.85,-2.6,0.0,-0.15,2.0999025,-11.785251965713632,51.08314157855431
0.405666949441863,0.3605900131148143,0.3377838899815355,0.502191929194562,0.3772950292409982,0.5703476767622728,-0.2446098910351746,0.21,-16.21,0.85,-2.6,0.0,-0.15,2.0999025,-9.280403972436106,48.341308240542524
0.0,0.0,0.0,-1.084380980278865,0.0,-0.4929867318200887,0.3686259231151512,-0.07,34.98,0.9,1.33,-8.0,-0.25,1.9354319,-1.6104957055871372,51.4008266620303
0.5172264111710456,0.6118237588387698,0.4843890850219079,2.9888999823618034,-1.08463476214542,-0.14752428945048468,-2.386690512915046,2.75,34.98,0.9,1.33,8.7,-0.25,1.9354319,0.8218573323084487,52.80384526381735
-1.0546128701639845,-0.7615610549638774,-1.1140266730033432,2.2030046387152558,-1.186855900025352,-1.1985568863963514,0.0,-0.1,34.98,0.9,1.33,-4.0,-0.25,1.9354319,4.166152510285685,55.68673042621999
