date,open,high,low,close,volume,change_percent,avg_vol_20d
1927-12-30,17.66,17.66,17.66,17.66,0,,
1928-01-03,17.76,17.76,17.76,17.76,0,0.57,
1928-01-04,17.72,17.72,17.72,17.72,0,-0.23,
1928-01-05,17.55,17.55,17.55,17.55,0,-0.96,
1928-01-06,17.66,17.66,17.66,17.66,0,0.63,
1928-01-09,17.5,17.5,17.5,17.5,0,-0.91,
1928-01-10,17.37,17.37,17.37,17.37,0,-0.74,
1928-01-11,17.35,17.35,17.35,17.35,0,-0.12,
1928-01-12,17.47,17.47,17.47,17.47,0,0.69,
1928-01-13,17.58,17.58,17.58,17.58,0,0.63,
1928-01-16,17.29,17.29,17.29,17.29,0,-1.65,
1928-01-17,17.3,17.3,17.3,17.3,0,0.06,
1928-01-18,17.26,17.26,17.26,17.26,0,-0.23,
1928-01-19,17.38,17.38,17.38,17.38,0,0.7,
1928-01-20,17.48,17.48,17.48,17.48,0,0.58,
1928-01-23,17.64,17.64,17.64,17.64,0,0.92,
1928-01-24,17.71,17.71,17.71,17.71,0,0.4,
1928-01-25,17.52,17.52,17.52,17.52,0,-1.07,
1928-01-26,17.63,17.63,17.63,17.63,0,0.63,
1928-01-27,17.69,17.69,17.69,17.69,0,0.34,0.0
1928-01-30,17.49,17.49,17.49,17.49,0,-1.13,0.0
1928-01-31,17.57,17.57,17.57,17.57,0,0.46,0.0
1928-02-01,17.53,17.53,17.53,17.53,0,-0.23,0.0
1928-02-02,17.63,17.63,17.63,17.63,0,0.57,0.0
1928-02-03,17.4,17.4,17.4,17.4,0,-1.3,0.0
1928-02-06,17.45,17.45,17.45,17.45,0,0.29,0.0
1928-02-07,17.44,17.44,17.44,17.44,0,-0.06,0.0
1928-02-08,17.49,17.49,17.49,17.49,0,0.29,0.0
1928-02-09,17.55,17.55,17.55,17.55,0,0.34,0.0
1928-02-10,17.54,17.54,17.54,17.54,0,-0.06,0.0
1928-02-14,17.44,17.44,17.44,17.44,0,-0.57,0.0
1928-02-15,17.4,17.4,17.4,17.4,0,-0.23,0.0
1928-02-16,17.35,17.35,17.35,17.35,0,-0.29,0.0
1928-02-17,17.04,17.04,17.04,17.04,0,-1.79,0.0
1928-02-20,16.95,16.95,16.95,16.95,0,-0.53,0.0
1928-02-21,17.11,17.11,17.11,17.11,0,0.94,0.0
1928-02-23,17.13,17.13,17.13,17.13,0,0.12,0.0
1928-02-24,17.18,17.18,17.18,17.18,0,0.29,0.0
1928-02-27,17.11,17.11,17.11,17.11,0,-0.41,0.0
1928-02-28,17.16,17.16,17.16,17.16,0,0.29,0.0
1928-02-29,17.26,17.26,17.26,17.26,0,0.58,0.0
1928-03-01,17.3,17.3,17.3,17.3,0,0.23,0.0
1928-03-02,17.3,17.3,17.3,17.3,0,0.0,0.0
1928-03-05,17.57,17.57,17.57,17.57,0,1.56,0.0
1928-03-06,17.67,17.67,17.67,17.67,0,0.57,0.0
1928-03-07,17.58,17.58,17.58,17.58,0,-0.51,0.0
1928-03-08,17.64,17.64,17.64,17.64,0,0.34,0.0
1928-03-09,17.93,17.93,17.93,17.93,0,1.64,0.0
1928-03-12,18.0,18.0,18.0,18.0,0,0.39,0.0
1928-03-13,17.92,17.92,17.92,17.92,0,-0.44,0.0
1928-03-14,17.93,17.93,17.93,17.93,0,0.06,0.0
1928-03-15,18.07,18.07,18.07,18.07,0,0.78,0.0
1928-03-16,18.26,18.26,18.26,18.26,0,1.05,0.0
1928-03-19,18.36,18.36,18.36,18.36,0,0.55,0.0
1928-03-20,18.46,18.46,18.46,18.46,0,0.54,0.0
1928-03-21,18.65,18.65,18.65,18.65,0,1.03,0.0
1928-03-22,18.6,18.6,18.6,18.6,0,-0.27,0.0
1928-03-23,18.78,18.78,18.78,18.78,0,0.97,0.0
1928-03-26,19.05,19.05,19.05,19.05,0,1.44,0.0
1928-03-27,18.94,18.94,18.94,18.94,0,-0.58,0.0
1928-03-28,18.89,18.89,18.89,18.89,0,-0.26,0.0
1928-03-29,18.95,18.95,18.95,18.95,0,0.32,0.0
1928-03-30,19.28,19.28,19.28,19.28,0,1.74,0.0
1928-04-02,18.91,18.91,18.91,18.91,0,-1.92,0.0
1928-04-03,19.02,19.02,19.02,19.02,0,0.58,0.0
1928-04-04,18.99,18.99,18.99,18.99,0,-0.16,0.0
1928-04-05,19.23,19.23,19.23,19.23,0,1.26,0.0
1928-04-09,19.27,19.27,19.27,19.27,0,0.21,0.0
1928-04-10,19.1,19.1,19.1,19.1,0,-0.88,0.0
1928-04-11,19.44,19.44,19.44,19.44,0,1.78,0.0
1928-04-12,19.41,19.41,19.41,19.41,0,-0.15,0.0
1928-04-13,19.73,19.73,19.73,19.73,0,1.65,0.0
1928-04-16,19.68,19.68,19.68,19.68,0,-0.25,0.0
1928-04-17,19.52,19.52,19.52,19.52,0,-0.81,0.0
1928-04-18,19.52,19.52,19.52,19.52,0,0.0,0.0
1928-04-19,19.63,19.63,19.63,19.63,0,0.56,0.0
1928-04-20,19.34,19.34,19.34,19.34,0,-1.48,0.0
1928-04-23,19.15,19.15,19.15,19.15,0,-0.98,0.0
1928-04-24,19.25,19.25,19.25,19.25,0,0.52,0.0
1928-04-25,19.33,19.33,19.33,19.33,0,0.42,0.0
1928-04-26,19.47,19.47,19.47,19.47,0,0.72,0.0
1928-04-27,19.68,19.68,19.68,19.68,0,1.08,0.0
1928-04-30,19.75,19.75,19.75,19.75,0,0.36,0.0
1928-05-01,19.78,19.78,19.78,19.78,0,0.15,0.0
1928-05-02,19.83,19.83,19.83,19.83,0,0.25,0.0
1928-05-03,19.93,19.93,19.93,19.93,0,0.5,0.0
1928-05-04,20.24,20.24,20.24,20.24,0,1.56,0.0
1928-05-07,20.41,20.41,20.41,20.41,0,0.84,0.0
1928-05-08,20.27,20.27,20.27,20.27,0,-0.69,0.0
1928-05-09,20.24,20.24,20.24,20.24,0,-0.15,0.0
1928-05-10,20.21,20.21,20.21,20.21,0,-0.15,0.0
1928-05-11,20.36,20.36,20.36,20.36,0,0.74,0.0
1928-05-14,20.44,20.44,20.44,20.44,0,0.39,0.0
1928-05-15,20.39,20.39,20.39,20.39,0,-0.24,0.0
1928-05-16,20.05,20.05,20.05,20.05,0,-1.67,0.0
1928-05-17,20.12,20.12,20.12,20.12,0,0.35,0.0
1928-05-18,19.92,19.92,19.92,19.92,0,-0.99,0.0
1928-05-21,19.63,19.63,19.63,19.63,0,-1.46,0.0
1928-05-22,19.36,19.36,19.36,19.36,0,-1.38,0.0
1928-05-23,19.75,19.75,19.75,19.75,0,2.01,0.0
1928-05-24,19.87,19.87,19.87,19.87,0,0.61,0.0
1928-05-25,19.9,19.9,19.9,19.9,0,0.15,0.0
