Date,"LT Real Average (10> Yrs)"
12/31/2020,-0.48
12/30/2020,-0.45
12/29/2020,-0.45
12/28/2020,-0.46
12/24/2020,-0.46
12/23/2020,-0.43
12/22/2020,-0.44
12/21/2020,-0.43
12/18/2020,-0.43
12/17/2020,-0.44
12/16/2020,-0.43
12/15/2020,-0.45
12/14/2020,-0.44
12/11/2020,-0.44
12/10/2020,-0.44
12/09/2020,-0.42
12/08/2020,-0.42
12/07/2020,-0.40
12/04/2020,-0.38
12/03/2020,-0.42
12/02/2020,-0.39
12/01/2020,-0.39
11/30/2020,-0.44
11/27/2020,-0.42
11/25/2020,-0.38
11/24/2020,-0.37
11/23/2020,-0.38
11/20/2020,-0.40
11/19/2020,-0.36
11/18/2020,-0.33
11/17/2020,-0.34
11/16/2020,-0.31
11/13/2020,-0.33
11/12/2020,-0.33
11/10/2020,-0.26
11/09/2020,-0.24
11/06/2020,-0.32
11/05/2020,-0.38
11/04/2020,-0.36
11/03/2020,-0.33
11/02/2020,-0.34
10/30/2020,-0.31
10/29/2020,-0.34
10/28/2020,-0.38
10/27/2020,-0.38
10/26/2020,-0.36
10/23/2020,-0.34
10/22/2020,-0.32
10/21/2020,-0.34
10/20/2020,-0.35
10/19/2020,-0.38
10/16/2020,-0.41
10/15/2020,-0.41
10/14/2020,-0.41
10/13/2020,-0.41
10/09/2020,-0.37
10/08/2020,-0.37
10/07/2020,-0.32
10/06/2020,-0.34
10/05/2020,-0.35
10/02/2020,-0.41
10/01/2020,-0.41
09/30/2020,-0.40
09/29/2020,-0.44
09/28/2020,-0.42
09/25/2020,-0.41
09/24/2020,-0.40
09/23/2020,-0.38
09/22/2020,-0.38
09/21/2020,-0.38
09/18/2020,-0.39
09/17/2020,-0.40
09/16/2020,-0.40
09/15/2020,-0.41
09/14/2020,-0.40
09/11/2020,-0.41
09/10/2020,-0.43
09/09/2020,-0.42
09/08/2020,-0.42
09/04/2020,-0.41
09/03/2020,-0.47
09/02/2020,-0.48
09/01/2020,-0.47
08/31/2020,-0.44
08/28/2020,-0.37
08/27/2020,-0.35
08/26/2020,-0.42
08/25/2020,-0.42
08/24/2020,-0.43
