Date,"LT Real Average (10> Yrs)"
08/21/2020,-0.41
08/20/2020,-0.37
08/19/2020,-0.40
08/18/2020,-0.42
08/17/2020,-0.35
08/14/2020,-0.33
08/13/2020,-0.37
08/12/2020,-0.41
08/11/2020,-0.43
08/10/2020,-0.47
08/07/2020,-0.48
08/06/2020,-0.52
08/05/2020,-0.51
08/04/2020,-0.51
08/03/2020,-0.49
07/31/2020,-0.49
07/30/2020,-0.46
07/29/2020,-0.44
07/28/2020,-0.43
07/27/2020,-0.40
07/24/2020,-0.41
07/23/2020,-0.39
07/22/2020,-0.37
07/21/2020,-0.37
07/20/2020,-0.34
07/17/2020,-0.33
07/16/2020,-0.31
07/15/2020,-0.29
07/14/2020,-0.30
07/13/2020,-0.29
07/10/2020,-0.27
07/09/2020,-0.29
07/08/2020,-0.24
07/07/2020,-0.27
07/06/2020,-0.24
07/02/2020,-0.23
07/01/2020,-0.20
06/30/2020,-0.20
06/29/2020,-0.22
06/26/2020,-0.23
06/25/2020,-0.20
06/24/2020,-0.18
06/23/2020,-0.18
06/22/2020,-0.17
06/19/2020,-0.13
06/18/2020,-0.11
06/17/2020,-0.06
06/16/2020,-0.06
06/15/2020,-0.09
06/12/2020,-0.08
06/11/2020,-0.14
06/10/2020,-0.07
06/09/2020,0.01
06/08/2020,0.04
06/05/2020,0.06
06/04/2020,0.03
06/03/2020,-0.02
06/02/2020,-0.06
06/01/2020,-0.09
05/29/2020,-0.10
05/28/2020,-0.08
05/27/2020,-0.06
05/26/2020,-0.05
05/22/2020,-0.10
05/21/2020,-0.10
05/20/2020,-0.12
05/19/2020,-0.08
05/18/2020,-0.08
05/15/2020,-0.12
05/14/2020,-0.11
05/13/2020,-0.09
05/12/2020,-0.06
05/11/2020,-0.06
05/08/2020,-0.09
05/07/2020,-0.12
05/06/2020,-0.05
05/05/2020,-0.13
05/04/2020,-0.12
05/01/2020,-0.12
04/30/2020,-0.12
04/29/2020,-0.21
04/28/2020,-0.25
04/27/2020,-0.23
04/24/2020,-0.25
04/23/2020,-0.19
04/22/2020,-0.17
04/21/2020,-0.13
04/20/2020,-0.04
04/17/2020,-0.04
04/16/2020,-0.10
04/15/2020,-0.21
04/14/2020,-0.16
04/13/2020,-0.14
04/09/2020,-0.13
04/08/2020,-0.06
04/07/2020,-0.07
04/06/2020,-0.10
04/03/2020,-0.09
04/02/2020,-0.03
04/01/2020,0.06
03/31/2020,0.16
03/30/2020,0.04
03/27/2020,-0.02
03/26/2020,-0.05
03/25/2020,0.01
03/24/2020,-0.04
03/23/2020,0.04
03/20/2020,0.39
03/19/2020,0.84
03/18/2020,0.81
03/17/2020,0.72
03/16/2020,0.35
03/13/2020,0.43
03/12/2020,0.37
03/11/2020,0.18
03/10/2020,0.08
03/09/2020,-0.20
03/06/2020,-0.24
03/05/2020,-0.05
03/04/2020,0.00
03/03/2020,0.01
03/02/2020,0.07
02/28/2020,0.09
02/27/2020,0.12
02/26/2020,0.14
02/25/2020,0.13
02/24/2020,0.13
02/21/2020,0.17
02/20/2020,0.21
02/19/2020,0.24
02/18/2020,0.23
02/14/2020,0.27
02/13/2020,0.29
02/12/2020,0.32
02/11/2020,0.29
02/10/2020,0.25
02/07/2020,0.27
02/06/2020,0.32
02/05/2020,0.35
02/04/2020,0.31
02/03/2020,0.26
01/31/2020,0.22
01/30/2020,0.27
01/29/2020,0.28
01/28/2020,0.32
01/27/2020,0.30
01/24/2020,0.34
01/23/2020,0.38
01/22/2020,0.41
01/21/2020,0.41
01/17/2020,0.46
01/16/2020,0.42
01/15/2020,0.40
01/14/2020,0.41
01/13/2020,0.44
01/10/2020,0.43
01/09/2020,0.48
01/08/2020,0.50
01/07/2020,0.48
01/06/2020,0.44
01/03/2020,0.41
01/02/2020,0.46
