Date,"LT COMPOSITE (>10 Yrs)","TREASURY 20-Yr CMT"
12/31/2019,2.31,2.25
12/30/2019,2.27,2.21
12/27/2019,2.25,2.18
12/26/2019,2.26,2.19
12/24/2019,2.26,2.20
12/23/2019,2.28,2.22
12/20/2019,2.27,2.21
12/19/2019,2.28,2.21
12/18/2019,2.28,2.22
12/17/2019,2.24,2.18
12/16/2019,2.23,2.17
12/13/2019,2.18,2.11
12/12/2019,2.25,2.18
12/11/2019,2.15,2.08
12/10/2019,2.19,2.12
12/09/2019,2.20,2.13
12/06/2019,2.21,2.14
12/05/2019,2.17,2.11
12/04/2019,2.15,2.08
12/03/2019,2.10,2.03
12/02/2019,2.21,2.15
11/29/2019,2.14,2.07
11/27/2019,2.13,2.06
11/26/2019,2.11,2.04
11/25/2019,2.14,2.07
11/22/2019,2.15,2.08
11/21/2019,2.16,2.09
11/20/2019,2.12,2.05
11/19/2019,2.18,2.11
11/18/2019,2.22,2.14
11/15/2019,2.23,2.16
11/14/2019,2.23,2.15
11/13/2019,2.28,2.20
11/12/2019,2.31,2.24
11/08/2019,2.35,2.27
11/07/2019,2.32,2.24
11/06/2019,2.21,2.13
11/05/2019,2.25,2.17
11/04/2019,2.18,2.10
11/01/2019,2.12,2.03
10/31/2019,2.08,2.00
10/30/2019,2.17,2.08
10/29/2019,2.24,2.15
10/28/2019,2.25,2.16
10/25/2019,2.19,2.10
10/24/2019,2.17,2.08
10/23/2019,2.16,2.06
10/22/2019,2.16,2.07
10/21/2019,2.19,2.10
10/18/2019,2.15,2.06
10/17/2019,2.14,2.05
10/16/2019,2.14,2.05
10/15/2019,2.14,2.06
10/11/2019,2.13,2.04
10/10/2019,2.05,1.96
10/09/2019,1.98,1.88
10/08/2019,1.94,1.84
10/07/2019,1.94,1.85
10/04/2019,1.91,1.81
10/03/2019,1.94,1.85
10/02/2019,1.99,1.90
10/01/2019,2.02,1.93
09/30/2019,2.03,1.94
09/27/2019,2.04,1.95
09/26/2019,2.05,1.96
09/25/2019,2.08,1.99
09/24/2019,2.00,1.91
09/23/2019,2.07,1.98
09/20/2019,2.08,1.99
09/19/2019,2.13,2.04
09/18/2019,2.15,2.06
09/17/2019,2.17,2.08
09/16/2019,2.20,2.11
09/13/2019,2.27,2.17
09/12/2019,2.16,2.06
09/11/2019,2.11,2.02
09/10/2019,2.09,2.00
09/09/2019,2.00,1.91
09/06/2019,1.92,1.83
09/05/2019,1.96,1.86
09/04/2019,1.87,1.77
09/03/2019,1.85,1.77
08/30/2019,1.87,1.78
08/29/2019,1.87,1.78
08/28/2019,1.85,1.76
08/27/2019,1.86,1.77
08/26/2019,1.94,1.84
08/23/2019,1.92,1.82
08/22/2019,2.00,1.90
08/21/2019,1.97,1.87
08/20/2019,1.94,1.84
08/19/2019,1.98,1.88
08/16/2019,1.91,1.82
08/15/2019,1.88,1.80
08/14/2019,1.93,1.84
08/13/2019,2.03,1.94
08/12/2019,2.01,1.92
08/09/2019,2.13,2.03
08/08/2019,2.11,2.02
08/07/2019,2.10,2.01
08/06/2019,2.13,2.03
08/05/2019,2.17,2.07
08/02/2019,2.27,2.16
08/01/2019,2.31,2.21
07/31/2019,2.41,2.31
07/30/2019,2.46,2.36
07/29/2019,2.47,2.37
07/26/2019,2.48,2.38
07/25/2019,2.48,2.38
07/24/2019,2.46,2.36
07/23/2019,2.49,2.38
07/22/2019,2.46,2.36
07/19/2019,2.45,2.35
07/18/2019,2.44,2.34
07/17/2019,2.45,2.35
07/16/2019,2.52,2.42
07/15/2019,2.49,2.39
07/12/2019,2.52,2.42
07/11/2019,2.52,2.42
07/10/2019,2.46,2.36
07/09/2019,2.43,2.34
07/08/2019,2.42,2.32
07/05/2019,2.43,2.34
07/03/2019,2.35,2.25
07/02/2019,2.39,2.29
07/01/2019,2.44,2.34
06/28/2019,2.41,2.31
06/27/2019,2.41,2.31
06/26/2019,2.45,2.35
06/25/2019,2.41,2.31
06/24/2019,2.43,2.33
06/21/2019,2.47,2.37
06/20/2019,2.42,2.31
06/19/2019,2.43,2.32
06/18/2019,2.44,2.34
06/17/2019,2.47,2.37
06/14/2019,2.48,2.38
06/13/2019,2.49,2.39
06/12/2019,2.51,2.41
06/11/2019,2.51,2.42
06/10/2019,2.52,2.42
06/07/2019,2.46,2.36
06/06/2019,2.51,2.42
06/05/2019,2.52,2.42
06/04/2019,2.50,2.41
06/03/2019,2.43,2.34
05/31/2019,2.48,2.39
05/30/2019,2.55,2.46
05/29/2019,2.59,2.50
05/28/2019,2.61,2.52
05/24/2019,2.66,2.57
05/23/2019,2.65,2.56
05/22/2019,2.72,2.64
05/21/2019,2.75,2.67
05/20/2019,2.74,2.65
05/17/2019,2.72,2.63
05/16/2019,2.74,2.65
05/15/2019,2.72,2.63
05/14/2019,2.76,2.67
05/13/2019,2.73,2.65
05/10/2019,2.79,2.70
05/09/2019,2.77,2.69
05/08/2019,2.80,2.71
05/07/2019,2.77,2.68
05/06/2019,2.82,2.73
05/03/2019,2.84,2.75
05/02/2019,2.85,2.77
05/01/2019,2.83,2.74
04/30/2019,2.84,2.75
04/29/2019,2.87,2.78
04/26/2019,2.83,2.74
04/25/2019,2.85,2.76
04/24/2019,2.85,2.76
04/23/2019,2.89,2.81
04/22/2019,2.90,2.82
04/18/2019,2.87,2.78
04/17/2019,2.90,2.81
04/16/2019,2.90,2.81
04/15/2019,2.87,2.77
04/12/2019,2.88,2.78
04/11/2019,2.84,2.74
04/10/2019,2.80,2.71
04/09/2019,2.82,2.73
04/08/2019,2.83,2.74
04/05/2019,2.81,2.72
04/04/2019,2.83,2.74
04/03/2019,2.84,2.75
04/02/2019,2.79,2.70
04/01/2019,2.80,2.71
03/29/2019,2.72,2.63
03/28/2019,2.71,2.62
03/27/2019,2.73,2.63
03/26/2019,2.76,2.67
03/25/2019,2.78,2.68
03/22/2019,2.78,2.69
03/21/2019,2.87,2.78
03/20/2019,2.89,2.79
03/19/2019,2.93,2.84
03/18/2019,2.92,2.83
03/15/2019,2.92,2.83
03/14/2019,2.96,2.86
03/13/2019,2.92,2.82
03/12/2019,2.91,2.82
03/11/2019,2.95,2.86
03/08/2019,2.92,2.83
03/07/2019,2.95,2.86
03/06/2019,2.99,2.90
03/05/2019,3.01,2.93
03/04/2019,3.02,2.93
03/01/2019,3.06,2.97
02/28/2019,3.02,2.94
02/27/2019,2.99,2.91
02/26/2019,2.93,2.84
