Date,"LT COMPOSITE (>10 Yrs)","TREASURY 20-Yr CMT"
02/25/2019,2.96,2.87
02/22/2019,2.94,2.86
02/21/2019,2.97,2.89
02/20/2019,2.92,2.84
02/19/2019,2.92,2.84
02/15/2019,2.92,2.84
02/14/2019,2.93,2.85
02/13/2019,2.96,2.89
02/12/2019,2.94,2.87
02/11/2019,2.91,2.85
02/08/2019,2.89,2.82
02/07/2019,2.92,2.85
02/06/2019,2.96,2.88
02/05/2019,2.96,2.89
02/04/2019,2.99,2.92
02/01/2019,2.96,2.88
01/31/2019,2.91,2.83
01/30/2019,2.98,2.90
01/29/2019,2.97,2.90
01/28/2019,2.99,2.92
01/25/2019,2.99,2.92
01/24/2019,2.96,2.89
01/23/2019,3.00,2.93
01/22/2019,2.99,2.91
01/18/2019,3.03,2.95
01/17/2019,3.00,2.93
01/16/2019,3.00,2.92
01/15/2019,3.00,2.92
01/14/2019,2.99,2.91
01/11/2019,2.97,2.90
01/10/2019,2.99,2.92
01/09/2019,2.97,2.90
01/08/2019,2.94,2.88
01/07/2019,2.93,2.86
01/04/2019,2.91,2.83
01/03/2019,2.84,2.75
01/02/2019,2.90,2.83
