date,splg,spy,open,high,low,close,volume,change_percent,4 WEEKS BANK DISCOUNT,4 WEEKS COUPON EQUIVALENT,8 WEEKS BANK DISCOUNT,8 WEEKS COUPON EQUIVALENT,LT COMPOSITE (>10 Yrs),LT Real Average (10> Yrs),ema_20,ema_50,rsi_14,macd,signal_line,macd_value,plus_di,minus_di,adx
2019-12-11,34.559525,294.9895,3135.75,3143.98,3133.21,3141.6299,3252540000,0.29,1.51,1.54,1.53,1.56,2.15,0.44,3115.674269367168,3070.3610805816056,58.69918358033979,20.66883187389203,23.387867104576817,-2.719035230684785,41.66293517455775,29.484364039122823,173.7351714119687
2019-12-12,34.812187,297.5321,3141.23,3176.28,3138.47,3168.5701,3990690000,0.86,1.54,1.57,1.54,1.57,2.25,0.5,3120.711967522676,3074.2124146764445,65.28899039214328,22.478810102792067,23.206055704219867,-0.7272456014277999,39.48163566817862,27.608752079457492,172.4534583629698
2019-12-13,34.830906,297.7103,3166.6499,3182.6799,3156.51,3168.8,3736870000,0.01,1.52,1.55,1.54,1.57,2.18,0.46,3125.291780139564,3077.921731747957,64.19115050429399,23.659055038792758,23.296655571134448,0.3623994676583102,39.224252949203496,26.897547536900092,171.93732386881138
2019-12-16,35.09293,299.7556,3183.6299,3197.71,3183.6299,3191.45,4051790000,0.71,1.54,1.57,1.54,1.57,2.23,0.49,3131.5925629834146,3082.3738206990174,64.06916145411739,26.12096711071581,23.861517879050723,2.259449231665087,38.331289849053434,25.99967618242236,170.52118575227976
2019-12-17,35.111641,299.8213,3195.3999,3198.22,3191.03,3192.52,3837540000,0.03,1.53,1.56,1.53,1.56,2.24,0.48,3137.395176032613,3086.693278710821,63.02346828985829,27.837496886602366,24.65671368056105,3.1807832060413155,49.55267187937996,33.343013615997876,167.9296834817087
2019-12-18,35.10228,299.84,3195.21,3198.48,3191.1399,3191.1399,4014080000,-0.04,1.53,1.56,1.54,1.57,2.28,0.5,3142.513721172364,3090.78922464373,59.98085251540903,28.755026518574596,25.47637624816376,3.278650270410836,57.476396888880245,39.48618312076151,163.83588121285447
2019-12-19,35.270733,301.0691,3192.3201,3205.48,3192.3201,3205.3701,3720450000,0.45,1.51,1.54,1.55,1.58,2.28,0.48,3148.5000429654724,3095.2825923047603,66.99035991853926,30.281368805521197,26.43737475963525,3.843994045885946,57.71545884244493,39.37108702228814,162.4519344683876
2019-12-20,35.456955,302.389,3223.3301,3225.6499,3216.03,3221.22,6454270000,0.49,1.54,1.57,1.56,1.59,2.27,0.49,3155.425753159237,3100.221314175162,80.11553604020858,32.396513687823244,27.62920254527285,4.767311142550394,56.55529831148165,36.42180519489888,178.67385541944918
2019-12-23,35.494579,302.851,3226.05,3227.78,3222.3,3224.01,3060610000,0.09,1.54,1.57,1.54,1.57,2.28,0.51,3161.9575861916906,3105.075772442803,90.78889928281887,33.90705154503621,28.884772345225525,5.022279199810686,69.52707735194726,32.80395010038735,375.70256996844194
2019-12-24,35.475761,302.8604,3225.45,3226.4299,3220.51,3223.3799,1296540000,-0.02,1.52,1.55,1.55,1.58,2.26,0.49,3167.8073303639103,3109.7151499940655,89.11038812728864,34.65385184290926,30.038588244762273,4.6152635981469885,79.06022288767332,30.09034979216154,476.6167751095986
